,quarter,from_project_name,grant_pool_name,to_project_name,total_funding
195,2020-01-01 00:00:00+00:00,gitcoin,GG-05,walletconnect,521.4270000000001
196,2020-07-01 00:00:00+00:00,gitcoin,GG-06,vyperlang,253.652653352044
197,2020-07-01 00:00:00+00:00,gitcoin,GG-07,ethers-io,3135.3962239834027
198,2020-07-01 00:00:00+00:00,gitcoin,GG-07,prysmaticlabs,6192.085221447165
199,2020-10-01 00:00:00+00:00,gitcoin,GG-08,ethers-io,10240.661522901426
200,2020-10-01 00:00:00+00:00,gitcoin,GG-08,prettier-solidity,3260.6536524930166
201,2020-10-01 00:00:00+00:00,gitcoin,GG-08,hardhat-nomicfoundation,41798.69619164687
202,2020-10-01 00:00:00+00:00,gitcoin,GG-08,lighthouse-sigp,16833.312156474116
203,2020-10-01 00:00:00+00:00,gitcoin,GG-08,walletconnect,39241.57319032
204,2021-01-01 00:00:00+00:00,gitcoin,GG-09,lighthouse-sigp,16590.020199282368
205,2021-01-01 00:00:00+00:00,gitcoin,GG-09,wighawag,4180.229658806984
206,2021-07-01 00:00:00+00:00,gitcoin,GG-10,ethers-io,4206.939337437697
207,2021-04-01 00:00:00+00:00,gitcoin,GG-10,prettier-solidity,4673.21925440167
208,2021-07-01 00:00:00+00:00,gitcoin,GG-10,prysmaticlabs,25532.606720305314
209,2021-10-01 00:00:00+00:00,gitcoin,GG-12,vyperlang,2460.694127306372
210,2022-04-01 00:00:00+00:00,gitcoin,GG-14,wevm,138733.7549014191
211,2022-07-01 00:00:00+00:00,gitcoin,GG-15,vyperlang,13362.10023015205
212,2023-07-01 00:00:00+00:00,gitcoin,GG-18 - 0x8de918f0163b2021839a8d84954dd7e8e151326d,solhint-protofire,138.42461933689492
213,2023-10-01 00:00:00+00:00,gitcoin,GG-19 - 0xa1d52f9b5339792651861329a046dd912761e9a9,ethers-io,3557.9503046069044
214,2024-04-01 00:00:00+00:00,gitcoin,GG-20 - 27,remix-ethereum,14991.752509100681
215,2024-04-01 00:00:00+00:00,gitcoin,GG-20 - 27,web3,9149.586416176637
216,2024-04-01 00:00:00+00:00,gitcoin,GG-20 - 27,wevm,97733.53196888196
217,2024-10-01 00:00:00+00:00,gitcoin,GG-22 - 609,remix-ethereum,9384.995522096278
218,2024-10-01 00:00:00+00:00,gitcoin,GG-22 - 609,ethers-io,20697.818793511615
219,2022-07-01 00:00:00+00:00,gitcoin,CGrants - Direct,vyperlang,20.396018400000003
220,2022-07-01 00:00:00+00:00,gitcoin,CGrants - Direct,openzeppelin,41.591117039999986
221,2020-07-01 00:00:00+00:00,gitcoin,CGrants - Direct,hardhat-nomicfoundation,31.349999999999998
222,2020-07-01 00:00:00+00:00,gitcoin,GG-06,wighawag,38.129106403753354
223,2024-10-01 00:00:00+00:00,gitcoin,GG-22 - 609,go-ethereum,4692.497761048139
224,2021-10-01 00:00:00+00:00,gitcoin,CGrants - Direct,prettier-solidity,496.88253201148524
225,2021-01-01 00:00:00+00:00,gitcoin,CGrants - Direct,lighthouse-sigp,182.30495935880384
226,2020-10-01 00:00:00+00:00,gitcoin,CGrants - Direct,walletconnect,689.0722295789174
227,2022-04-01 00:00:00+00:00,gitcoin,GG-14,prettier-solidity,306.08838050603237
228,2021-01-01 00:00:00+00:00,gitcoin,CGrants - Direct,hardhat-nomicfoundation,58.34346585327582
229,2021-07-01 00:00:00+00:00,gitcoin,CGrants - Direct,vyperlang,115.68254380313435
230,2020-10-01 00:00:00+00:00,gitcoin,GG-08,teku-consensys,2974.4162267127144
231,2021-01-01 00:00:00+00:00,gitcoin,GG-09,vyperlang,410.04604999140855
232,2020-07-01 00:00:00+00:00,gitcoin,CGrants - Direct,vyperlang,50.65
233,2021-04-01 00:00:00+00:00,gitcoin,GG-09,wighawag,289.1549759878554
234,2020-10-01 00:00:00+00:00,gitcoin,GG-07,lighthouse-sigp,1878.6675197745215
235,2020-04-01 00:00:00+00:00,gitcoin,GG-06,teku-consensys,196.6932194274179
236,2023-04-01 00:00:00+00:00,optimism,retropgf2,solhint-protofire,34459.5
237,2023-07-01 00:00:00+00:00,gitcoin,CGrants - Direct,wevm,18.349479600000002
238,2024-10-01 00:00:00+00:00,optimism,retrofunding5,lodestar-chainsafe,174016.458981409
239,2022-01-01 00:00:00+00:00,gitcoin,CGrants - Direct,vyperlang,2.00263130196797
240,2024-01-01 00:00:00+00:00,optimism,retropgf3,openzeppelin,4347843.675
241,2023-01-01 00:00:00+00:00,gitcoin,CGrants - Direct,lodestar-chainsafe,46.3832545
242,2024-01-01 00:00:00+00:00,optimism,retropgf3,web3,869568.735
243,2021-01-01 00:00:00+00:00,gitcoin,GG-08,wighawag,26.053659138293
244,2019-01-01 00:00:00+00:00,gitcoin,GG-01,ethers-io,3003.2659888999997
245,2024-10-01 00:00:00+00:00,optimism,retrofunding5,ethereum-miscellania,834211.7812158201
246,2024-10-01 00:00:00+00:00,optimism,retrofunding5,nimbus-status-im,180241.920035258
247,,gitcoin,GG-18 - 0x222ea76664ed77d18d4416d2b2e77937b76f0a35,lighthouse-sigp,13154.746313468748
248,2024-01-01 00:00:00+00:00,optimism,retropgf3,libp2p,14608754.649999997
249,2024-04-01 00:00:00+00:00,octant-golemfoundation,epoch_3,web3,98100.415
250,2022-01-01 00:00:00+00:00,gitcoin,GG-13,walletconnect,19.8000741531777
251,2019-04-01 00:00:00+00:00,gitcoin,GG-02,hardhat-nomicfoundation,278.25921900000003
252,2023-04-01 00:00:00+00:00,optimism,retropgf2,lighthouse-sigp,248190.0
253,2023-04-01 00:00:00+00:00,optimism,retropgf2,eth-infinitism-account-abstraction,91999.5
254,2024-01-01 00:00:00+00:00,optimism,retropgf3,ethers-io,1043482.475
255,2024-01-01 00:00:00+00:00,optimism,retropgf3,lighthouse-sigp,1043482.475
256,2023-04-01 00:00:00+00:00,gitcoin,CGrants - Direct,openzeppelin,5.2219999999999995
257,2024-01-01 00:00:00+00:00,optimism,retropgf3,prettier-solidity,648593.96
258,,gitcoin,GG-18 - 0x222ea76664ed77d18d4416d2b2e77937b76f0a35,ethers-io,6809.33606271875
259,2024-01-01 00:00:00+00:00,optimism,retropgf3,ipfs,5533601.6049999995
260,2022-07-01 00:00:00+00:00,gitcoin,CGrants - Direct,ethers-io,420.7555437179083
261,2021-01-01 00:00:00+00:00,gitcoin,CGrants - Direct,wighawag,121.76513117925789
262,2023-04-01 00:00:00+00:00,gitcoin,CGrants - Direct,hardhat-nomicfoundation,130.46552381275498
263,2022-04-01 00:00:00+00:00,gitcoin,CGrants - Direct,hardhat-nomicfoundation,141.9529306107405
264,2022-04-01 00:00:00+00:00,gitcoin,CGrants - Direct,prysmaticlabs,7627.713711587485
265,2020-07-01 00:00:00+00:00,gitcoin,CGrants - Direct,prysmaticlabs,605.6477054155357
266,2020-04-01 00:00:00+00:00,gitcoin,CGrants - Direct,lighthouse-sigp,730.1627723901547
267,2022-07-01 00:00:00+00:00,gitcoin,CGrants - Direct,lighthouse-sigp,624.5403001090178
268,2022-01-01 00:00:00+00:00,gitcoin,CGrants - Direct,walletconnect,1039.4011140360767
269,2022-10-01 00:00:00+00:00,gitcoin,CGrants - Direct,lodestar-chainsafe,75.98093076991624
270,2019-10-01 00:00:00+00:00,gitcoin,GG-03,ethers-io,4194.530000000001
271,2020-07-01 00:00:00+00:00,gitcoin,GG-06,lighthouse-sigp,1800.242225757515
272,2021-01-01 00:00:00+00:00,gitcoin,GG-09,walletconnect,71319.87378944337
273,2021-07-01 00:00:00+00:00,gitcoin,GG-10,prettier-solidity,519.6121817210454
274,2021-07-01 00:00:00+00:00,gitcoin,GG-10,vyperlang,786.7040248150871
275,2021-07-01 00:00:00+00:00,gitcoin,GG-11,ethers-io,13655.657578616698
276,2021-07-01 00:00:00+00:00,gitcoin,GG-11,hardhat-nomicfoundation,19245.288329311545
277,2021-07-01 00:00:00+00:00,gitcoin,GG-11,wighawag,13827.138086978428
278,2021-07-01 00:00:00+00:00,gitcoin,GG-11,prysmaticlabs,129148.12861052246
279,2021-07-01 00:00:00+00:00,gitcoin,GG-11,lighthouse-sigp,14319.937353173782
280,2022-01-01 00:00:00+00:00,gitcoin,GG-13,prettier-solidity,3306.0524330351845
281,2022-01-01 00:00:00+00:00,gitcoin,GG-13,hardhat-nomicfoundation,37202.65286373786
282,2022-04-01 00:00:00+00:00,gitcoin,GG-14,vyperlang,953.3806921467225
283,2022-07-01 00:00:00+00:00,gitcoin,GG-15,prysmaticlabs,392435.8618981864
284,2022-07-01 00:00:00+00:00,gitcoin,GG-15,lodestar-chainsafe,5836.4526119653165
285,2024-04-01 00:00:00+00:00,gitcoin,GG-20 - 27,openzeppelin,136128.59043538428
286,2024-10-01 00:00:00+00:00,gitcoin,GG-22 - 609,solidity-ethereum,4692.497761048139
287,2024-10-01 00:00:00+00:00,gitcoin,GG-22 - 610,lighthouse-sigp,10235.487963247266
288,2022-10-01 00:00:00+00:00,gitcoin,CGrants - Direct,vyperlang,85.09015477000001
289,2022-01-01 00:00:00+00:00,gitcoin,CGrants - Direct,prysmaticlabs,917.4215404378596
290,2022-10-01 00:00:00+00:00,gitcoin,CGrants - Direct,wevm,217.98051186
291,2020-01-01 00:00:00+00:00,gitcoin,GG-04,ethers-io,3086.0033316139998
292,2020-04-01 00:00:00+00:00,gitcoin,GG-05,ethers-io,2483.106189002388
293,2020-01-01 00:00:00+00:00,gitcoin,GG-05,prysmaticlabs,3692.0752357898346
294,2020-07-01 00:00:00+00:00,gitcoin,GG-06,hardhat-nomicfoundation,511.66729516285096
295,2022-04-01 00:00:00+00:00,gitcoin,GG-14,wighawag,1404.4151355331842
296,2023-04-01 00:00:00+00:00,gitcoin,GG-17 - 0xdf22a2c8f6ba9376ff17ee13e6154b784ee92094,wevm,2223.673285961151
297,2024-04-01 00:00:00+00:00,gitcoin,GG-20 - 27,go-ethereum,7495.8762545503405
298,2024-10-01 00:00:00+00:00,optimism,retrofunding5,libp2p,9140700.882846385
299,2020-07-01 00:00:00+00:00,gitcoin,CGrants - Direct,lighthouse-sigp,48.262784364534994
300,2020-01-01 00:00:00+00:00,gitcoin,GG-04,lighthouse-sigp,3000.284875338301
301,2023-01-01 00:00:00+00:00,gitcoin,CGrants - Direct,wevm,109.4613174
302,2023-04-01 00:00:00+00:00,gitcoin,CGrants - Direct,wevm,12.390000000000002
303,2020-10-01 00:00:00+00:00,gitcoin,GG-07,hardhat-nomicfoundation,79.75972557859919
304,2019-01-01 00:00:00+00:00,gitcoin,GG-02,ethers-io,60.0
305,2022-04-01 00:00:00+00:00,gitcoin,GG-14,walletconnect,3.0
306,2024-10-01 00:00:00+00:00,optimism,retrofunding5,ethereumjs,2743946.072115716
307,2020-04-01 00:00:00+00:00,gitcoin,CGrants - Direct,hardhat-nomicfoundation,83.9798833898594
308,2024-01-01 00:00:00+00:00,optimism,retropgf3,vyperlang,869568.735
309,2023-01-01 00:00:00+00:00,gitcoin,CGrants - Direct,lighthouse-sigp,20.16843339
310,2024-01-01 00:00:00+00:00,optimism,retropgf3,remix-ethereum,1739137.47
311,2021-01-01 00:00:00+00:00,gitcoin,GG-09,remix-ethereum,1.96
312,2023-01-01 00:00:00+00:00,gitcoin,CGrants - Direct,wighawag,4.12
313,2024-01-01 00:00:00+00:00,optimism,retropgf3,wevm,2086964.9849999999
314,2024-01-01 00:00:00+00:00,optimism,retropgf3,eth-infinitism-account-abstraction,869568.735
315,2019-01-01 00:00:00+00:00,gitcoin,CGrants - Direct,walletconnect,1518.0
316,2022-01-01 00:00:00+00:00,gitcoin,CGrants - Direct,prettier-solidity,8.812771870602
317,2021-01-01 00:00:00+00:00,gitcoin,CGrants - Direct,vyperlang,15285.000000000002
318,2023-01-01 00:00:00+00:00,dao-drops-dorgtech,round_1,ethers-io,11801.0
319,2023-07-01 00:00:00+00:00,clrfund,round_9,prettier-solidity,11.84485150503366
320,2020-04-01 00:00:00+00:00,gitcoin,CGrants - Direct,teku-consensys,5.0
321,2019-07-01 00:00:00+00:00,gitcoin,CGrants - Direct,walletconnect,6.0
322,,gitcoin,GG-19 - 0xa1d52f9b5339792651861329a046dd912761e9a9,wevm,21441.596101528125
323,2019-04-01 00:00:00+00:00,gitcoin,CGrants - Direct,lighthouse-sigp,20.0
324,2023-04-01 00:00:00+00:00,optimism,retropgf2,remix-ethereum,455028.0
325,2023-04-01 00:00:00+00:00,optimism,retropgf2,solidity-ethereum,326074.5
326,,gitcoin,GG-18 - 0x8de918f0163b2021839a8d84954dd7e8e151326d,wighawag,30.30229775
327,2022-10-01 00:00:00+00:00,optimism,grants_season_2,safe-global,1250000.0
328,2023-04-01 00:00:00+00:00,optimism,retropgf2,prettier-solidity,131502.0
329,2023-01-01 00:00:00+00:00,gitcoin,CGrants - Direct,ethers-io,114.56869688750001
330,2021-07-01 00:00:00+00:00,gitcoin,CGrants - Direct,ethers-io,876.3308144198885
331,2021-10-01 00:00:00+00:00,gitcoin,CGrants - Direct,ethers-io,4282.47358703465
332,2022-04-01 00:00:00+00:00,gitcoin,CGrants - Direct,ethers-io,1241.0888394570372
333,2022-10-01 00:00:00+00:00,gitcoin,CGrants - Direct,ethers-io,551.957641985
334,2021-10-01 00:00:00+00:00,gitcoin,CGrants - Direct,hardhat-nomicfoundation,1028.5981724196097
